"date","tmin","tmin_mean"
2016-12-01,1.1,-3.1
2016-12-02,2.2,-2.8
2016-12-03,1.1,-2.7
2016-12-04,2.2,-2.9
2016-12-05,0.6,-3.1
2016-12-06,-1.6,-2.7
2016-12-07,1.1,-3.2
2016-12-08,-2.1,-3.8
2016-12-09,-3.8,-4.4
2016-12-10,-4.9,-4.3
2016-12-11,-4.9,-4.8
2016-12-12,-1.6,-4.1
2016-12-13,-3.2,-4.5
2016-12-14,-9.3,-5.4
2016-12-15,-12.7,-5.4
2016-12-16,-12.7,-5.5
2016-12-17,-7.7,-5.8
2016-12-18,-8.2,-7
2016-12-19,-11.6,-7.3
2016-12-20,-8.2,-6.9
2016-12-21,-0.5,-6.6
2016-12-22,0,-5.3
2016-12-23,0.6,-5.3
2016-12-24,1.1,-6.5
2016-12-25,-3.2,-6.6
2016-12-26,-3.8,-6.4
2016-12-27,-1,-6.3
2016-12-28,-2.1,-6.3
2016-12-29,-0.5,-6.6
2016-12-30,-2.7,-6.6
2016-12-31,-2.7,-6.4
