year,wind_max,pressure_min,hurricane_count,strong_hurricane_count,sst,pdi
1951,NA,NA,NA,NA,82.1066,2.7846
1952,NA,NA,NA,NA,82.21388,2.3445
1953,132,930.4,13.4,1.6,82.15412,2.2639
1954,127,933.8,13.4,1.2,82.01354,2.473
1955,126,936,12.8,1.2,81.9455,2.4041
1956,124,936.2,12.4,1.6,82.02902,2.1531
1957,124,938.8,12,1.6,82.09598,2.0011
1958,119,942,10.8,1.2,82.02362,2.0499
1959,128,935.2,10.6,2,81.87494,2.389
1960,124,936.2,10,1.8,81.8078,2.7669
1961,123,938.2,9.4,1.4,81.8978,2.8063
1962,127,936.2,9,2,81.9482,2.6079
1963,129,938.4,8.6,2,81.85316,2.4965
1964,125,940.2,8.6,1.4,81.75254,2.6412
1965,133,934.8,12.8,1.6,81.7466,2.7114
1966,123,939.8,14,1.4,81.77846,2.4241
1967,126,931.6,17.4,0.8,81.81104,2.1513
1968,121,932.4,20,0.6,81.87872,1.9995
1969,123,935.2,22.2,0.6,81.91652,1.91
1970,113,939.4,20.8,0.4,81.78728,1.8215
1971,118,938.8,21.2,0.4,81.55508,1.5311
1972,114,944.4,19.4,0.4,81.4136,1.3023
1973,116,943.2,20.2,0.6,81.37796,1.3258
1974,109,946,20,0.4,81.41198,1.5447
1975,121,942.4,19.2,0.6,81.51332,1.7044
1976,125,939.4,20.6,1,81.61736,1.5849
1977,129,938.6,20.6,1.2,81.68396,1.5081
1978,138,930.6,19.6,1.2,81.78962,1.9018
1979,140,928.4,19.8,1.4,81.97178,2.6182
1980,133,933.2,18.4,1.4,82.03964,2.8708
1981,129,936.2,14.8,1,81.88304,2.278
1982,122,941.2,14.8,0.8,81.6503,1.4246
1983,114,945.4,14,0.8,81.50918,1.139
1984,109,952,11.6,0.6,81.4901,1.3853
1985,108,953.6,12.8,0.4,81.60332,1.51
1986,120,938.8,15.4,1,81.84002,1.4708
1987,125,932.6,14.4,1.2,82.05314,1.8049
1988,121,939.8,14.8,1,82.17536,2.4896
1989,126,932.8,15.2,1.2,82.16564,2.757
1990,134,925.6,14.4,1.4,82.02452,2.3579
1991,122,940,12.6,0.8,81.82904,1.8318
1992,113,950.8,12,0.4,81.67334,1.5038
1993,118,942.8,13,1,81.734,1.6579
1994,120,940.6,13.2,1.2,81.95414,2.5317
1995,112,945.4,13,1,82.17032,3.469
1996,123,934.4,13.8,1.4,82.37804,3.7677
1997,131,924.2,14.6,2.4,82.553,3.6987
1998,129,928.8,14.2,2.2,82.6268,3.8579
1999,129,928.8,15,2.2,82.55858,4.0137
2e3,132,926.4,16,2.4,82.41872,3.502
2001,130,928.4,17.4,2.4,82.41242,2.9404
2002,132,926.2,17.4,2.2,82.60628,3.4359
2003,140,914.8,19.8,2.8,82.86494,4.9011
2004,136,919.2,18.6,2.4,83.07068,6.0003
2005,141,913.4,19.2,2.6,83.06402,5.5528
2006,139,917.4,18.4,3,82.87646,4.1876
2007,133,924,17.4,2.4,82.71716,3.1377
2008,128,932.4,15.4,2.2,82.74092,2.8979
2009,131,929.4,17.2,2.6,82.93082,3.086
2010,121,936.4,17.6,2.2,83.06348,3.2155
2011,110,945.2,17.2,1.4,83.07806,3.0646
2012,112,944.6,16.8,1.4,83.00318,2.4496000000000002
2013,112,946,15,0.8,82.9085,1.8444
2014,117,944.8,14.2,0.8,NA,NA
2015,128,938.4,14,1.6,NA,NA
2016,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA
